Category,DayOfWeek,Time,PdDistrict,Resolution
LARCENY/THEFT,Monday,17:30,CENTRAL,NONE
TRESPASS,Saturday,11:40,SOUTHERN,NONE
FORGERY/COUNTERFEITING,Tuesday,15:00,INGLESIDE,NONE
NON-CRIMINAL,Monday,14:25,PARK,NONE
VEHICLE THEFT,Friday,16:00,INGLESIDE,NONE
WEAPON LAWS,Monday,18:46,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Wednesday,00:01,BAYVIEW,NONE
LARCENY/THEFT,Tuesday,19:15,SOUTHERN,NONE
WARRANTS,Wednesday,20:13,MISSION,"ARREST, BOOKED"
VEHICLE THEFT,Friday,22:00,INGLESIDE,NONE
ASSAULT,Wednesday,19:49,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,Monday,17:30,TARAVAL,NONE
MISSING PERSON,Wednesday,16:05,TARAVAL,NONE
LARCENY/THEFT,Friday,12:41,NORTHERN,NONE
LARCENY/THEFT,Thursday,14:03,SOUTHERN,NONE
NON-CRIMINAL,Monday,22:08,TENDERLOIN,NONE
DRUG/NARCOTIC,Sunday,19:17,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,08:30,NORTHERN,NONE
LARCENY/THEFT,Friday,18:52,CENTRAL,NONE
LARCENY/THEFT,Monday,08:30,BAYVIEW,NONE
OTHER OFFENSES,Wednesday,11:50,PARK,NONE
LARCENY/THEFT,Sunday,21:30,CENTRAL,NONE
DRUNKENNESS,Thursday,21:40,TARAVAL,"ARREST, BOOKED"
ASSAULT,Friday,15:50,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,23:50,BAYVIEW,NONE
DRUG/NARCOTIC,Sunday,00:05,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Wednesday,12:15,RICHMOND,NONE
ASSAULT,Monday,11:10,CENTRAL,NONE
LARCENY/THEFT,Monday,14:05,NORTHERN,NONE
LARCENY/THEFT,Sunday,19:50,SOUTHERN,NONE
VANDALISM,Tuesday,20:35,BAYVIEW,NONE
NON-CRIMINAL,Monday,15:30,SOUTHERN,NONE
BURGLARY,Tuesday,23:32,CENTRAL,NONE
LARCENY/THEFT,Friday,19:00,PARK,NONE
LARCENY/THEFT,Thursday,20:05,CENTRAL,NONE
BURGLARY,Friday,18:15,CENTRAL,NONE
VANDALISM,Saturday,14:00,SOUTHERN,NONE
LARCENY/THEFT,Thursday,18:50,SOUTHERN,NONE
NON-CRIMINAL,Monday,06:57,SOUTHERN,NONE
LARCENY/THEFT,Friday,19:15,NORTHERN,NONE
NON-CRIMINAL,Wednesday,06:31,MISSION,NONE
OTHER OFFENSES,Friday,21:57,BAYVIEW,"ARREST, BOOKED"
ASSAULT,Sunday,13:00,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Friday,17:00,SOUTHERN,NONE
NON-CRIMINAL,Tuesday,19:00,PARK,NONE
OTHER OFFENSES,Wednesday,11:00,SOUTHERN,NONE
VANDALISM,Wednesday,15:51,TARAVAL,NONE
OTHER OFFENSES,Thursday,01:58,RICHMOND,"ARREST, BOOKED"
OTHER OFFENSES,Thursday,07:00,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Wednesday,21:25,TENDERLOIN,"ARREST, BOOKED"
VANDALISM,Thursday,09:00,SOUTHERN,NONE
SUSPICIOUS OCC,Saturday,11:01,TENDERLOIN,NONE
LARCENY/THEFT,Saturday,07:30,TARAVAL,NONE
LARCENY/THEFT,Thursday,18:00,MISSION,NONE
VEHICLE THEFT,Wednesday,19:00,RICHMOND,NONE
OTHER OFFENSES,Friday,11:00,BAYVIEW,"ARREST, BOOKED"
ASSAULT,Tuesday,17:15,NORTHERN,NONE
DRUG/NARCOTIC,Thursday,18:30,BAYVIEW,NONE
LARCENY/THEFT,Friday,14:15,NORTHERN,NONE
LARCENY/THEFT,Tuesday,11:30,SOUTHERN,NONE
OTHER OFFENSES,Monday,01:50,SOUTHERN,NONE
BURGLARY,Saturday,11:00,NORTHERN,NONE
VANDALISM,Thursday,19:00,SOUTHERN,NONE
NON-CRIMINAL,Thursday,17:45,NORTHERN,NONE
NON-CRIMINAL,Tuesday,02:00,TENDERLOIN,NONE
OTHER OFFENSES,Wednesday,09:15,TARAVAL,NONE
OTHER OFFENSES,Thursday,10:50,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,Wednesday,00:01,TENDERLOIN,"ARREST, BOOKED"
ASSAULT,Wednesday,22:00,NORTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Thursday,11:15,CENTRAL,NONE
LARCENY/THEFT,Friday,23:10,NORTHERN,NONE
ASSAULT,Friday,21:15,BAYVIEW,NONE
SUSPICIOUS OCC,Saturday,02:52,TENDERLOIN,NONE
LARCENY/THEFT,Wednesday,16:00,RICHMOND,NONE
DRUG/NARCOTIC,Saturday,03:53,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,Monday,15:43,SOUTHERN,NONE
STOLEN PROPERTY,Thursday,05:08,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Monday,12:00,CENTRAL,NONE
TRESPASS,Sunday,13:04,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,10:30,RICHMOND,NONE
KIDNAPPING,Sunday,21:29,INGLESIDE,"ARREST, BOOKED"
VANDALISM,Saturday,14:06,PARK,NONE
ASSAULT,Friday,15:00,INGLESIDE,NONE
ASSAULT,Sunday,09:00,PARK,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,18:00,INGLESIDE,NONE
BURGLARY,Friday,18:00,NORTHERN,NONE
LARCENY/THEFT,Sunday,15:20,RICHMOND,NONE
SECONDARY CODES,Thursday,12:45,TENDERLOIN,NONE
FRAUD,Friday,14:49,SOUTHERN,NONE
KIDNAPPING,Saturday,02:05,BAYVIEW,NONE
NON-CRIMINAL,Wednesday,16:37,TENDERLOIN,NONE
LIQUOR LAWS,Monday,13:22,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Saturday,01:00,SOUTHERN,NONE
OTHER OFFENSES,Saturday,03:10,INGLESIDE,"ARREST, BOOKED"
VEHICLE THEFT,Sunday,22:00,PARK,NONE
DRUG/NARCOTIC,Wednesday,23:14,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,Monday,05:43,TENDERLOIN,"ARREST, BOOKED"
ASSAULT,Tuesday,09:43,BAYVIEW,NONE
LARCENY/THEFT,Saturday,15:45,CENTRAL,NONE
LARCENY/THEFT,Friday,23:20,SOUTHERN,NONE
LARCENY/THEFT,Saturday,14:30,RICHMOND,NONE
NON-CRIMINAL,Tuesday,04:27,SOUTHERN,NONE
ARSON,Sunday,17:35,INGLESIDE,NONE
LARCENY/THEFT,Friday,03:00,NORTHERN,NONE
LARCENY/THEFT,Tuesday,13:26,NORTHERN,NONE
VEHICLE THEFT,Wednesday,19:00,TARAVAL,NONE
NON-CRIMINAL,Friday,09:00,INGLESIDE,NONE
LARCENY/THEFT,Wednesday,20:00,CENTRAL,NONE
ROBBERY,Monday,06:42,RICHMOND,NONE
OTHER OFFENSES,Monday,14:09,NORTHERN,"ARREST, BOOKED"
OTHER OFFENSES,Tuesday,15:29,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,Friday,23:45,SOUTHERN,NONE
LARCENY/THEFT,Wednesday,21:45,BAYVIEW,NONE
LARCENY/THEFT,Monday,15:56,SOUTHERN,NONE
LARCENY/THEFT,Tuesday,05:10,NORTHERN,NONE
LARCENY/THEFT,Friday,23:30,SOUTHERN,NONE
NON-CRIMINAL,Wednesday,19:30,NORTHERN,NONE
ASSAULT,Monday,05:15,BAYVIEW,NONE
LARCENY/THEFT,Tuesday,18:50,CENTRAL,NONE
TRESPASS,Monday,20:55,MISSION,NONE
VANDALISM,Tuesday,08:00,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Friday,15:00,NORTHERN,NONE
NON-CRIMINAL,Sunday,05:35,TENDERLOIN,NONE
TRESPASS,Sunday,06:32,SOUTHERN,"ARREST, BOOKED"
SUSPICIOUS OCC,Tuesday,00:01,SOUTHERN,NONE
NON-CRIMINAL,Monday,15:45,RICHMOND,"ARREST, BOOKED"
SECONDARY CODES,Monday,18:22,SOUTHERN,NONE
VEHICLE THEFT,Sunday,20:00,TARAVAL,NONE
VANDALISM,Sunday,19:00,CENTRAL,NONE
SECONDARY CODES,Monday,16:30,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Wednesday,12:38,SOUTHERN,NONE
VANDALISM,Wednesday,20:38,RICHMOND,NONE
RECOVERED VEHICLE,Saturday,14:57,BAYVIEW,NONE
LARCENY/THEFT,Saturday,11:30,NORTHERN,NONE
ASSAULT,Saturday,22:20,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,00:01,CENTRAL,NONE
OTHER OFFENSES,Saturday,19:00,INGLESIDE,NONE
LARCENY/THEFT,Tuesday,07:00,INGLESIDE,NONE
SUSPICIOUS OCC,Sunday,22:45,TENDERLOIN,NONE
DRUNKENNESS,Thursday,14:55,PARK,NONE
LARCENY/THEFT,Thursday,14:30,BAYVIEW,NONE
LARCENY/THEFT,Thursday,04:50,TARAVAL,NONE
WARRANTS,Saturday,13:28,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Wednesday,16:20,NORTHERN,"ARREST, BOOKED"
WEAPON LAWS,Thursday,15:53,TARAVAL,NONE
OTHER OFFENSES,Friday,12:00,BAYVIEW,NONE
LARCENY/THEFT,Monday,18:00,TARAVAL,NONE
OTHER OFFENSES,Friday,21:00,BAYVIEW,"ARREST, BOOKED"
ROBBERY,Thursday,16:10,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,Tuesday,21:00,TARAVAL,NONE
ASSAULT,Saturday,01:47,SOUTHERN,NONE
LARCENY/THEFT,Monday,05:15,CENTRAL,NONE
OTHER OFFENSES,Monday,09:55,INGLESIDE,NONE
OTHER OFFENSES,Tuesday,17:27,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,11:30,TENDERLOIN,NONE
LARCENY/THEFT,Wednesday,20:00,CENTRAL,NONE
WARRANTS,Wednesday,13:02,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Friday,16:00,NORTHERN,NONE
WARRANTS,Thursday,23:09,TENDERLOIN,"ARREST, BOOKED"
SUSPICIOUS OCC,Wednesday,17:00,PARK,NONE
OTHER OFFENSES,Tuesday,22:58,INGLESIDE,"ARREST, BOOKED"
ASSAULT,Wednesday,13:00,NORTHERN,NONE
ASSAULT,Tuesday,22:10,NORTHERN,"ARREST, BOOKED"
SUSPICIOUS OCC,Wednesday,06:39,TENDERLOIN,NONE
LARCENY/THEFT,Thursday,16:00,CENTRAL,NONE
NON-CRIMINAL,Monday,18:19,SOUTHERN,NONE
BURGLARY,Monday,05:40,SOUTHERN,NONE
LARCENY/THEFT,Thursday,16:15,PARK,NONE
NON-CRIMINAL,Friday,17:15,MISSION,NONE
LARCENY/THEFT,Friday,20:00,BAYVIEW,NONE
BURGLARY,Sunday,19:45,INGLESIDE,NONE
OTHER OFFENSES,Tuesday,14:00,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,01:20,NORTHERN,NONE
NON-CRIMINAL,Tuesday,08:00,SOUTHERN,NONE
OTHER OFFENSES,Saturday,16:01,RICHMOND,"ARREST, BOOKED"
DRUG/NARCOTIC,Saturday,15:21,TENDERLOIN,"ARREST, BOOKED"
ROBBERY,Sunday,06:52,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Monday,17:30,TENDERLOIN,NONE
OTHER OFFENSES,Monday,02:05,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,Tuesday,21:00,BAYVIEW,NONE
LARCENY/THEFT,Tuesday,19:15,NORTHERN,NONE
LARCENY/THEFT,Saturday,19:00,SOUTHERN,NONE
ASSAULT,Friday,12:00,TENDERLOIN,"ARREST, BOOKED"
SUSPICIOUS OCC,Tuesday,23:41,MISSION,NONE
LARCENY/THEFT,Tuesday,14:00,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Wednesday,20:00,MISSION,NONE
LARCENY/THEFT,Sunday,16:15,NORTHERN,NONE
VANDALISM,Monday,04:30,CENTRAL,NONE
ASSAULT,Saturday,03:33,BAYVIEW,NONE
OTHER OFFENSES,Sunday,15:00,TARAVAL,"ARREST, BOOKED"
NON-CRIMINAL,Friday,18:00,INGLESIDE,NONE
ROBBERY,Friday,14:55,TENDERLOIN,NONE
LARCENY/THEFT,Monday,19:00,NORTHERN,NONE
DRUG/NARCOTIC,Saturday,06:38,MISSION,"ARREST, BOOKED"
SECONDARY CODES,Saturday,09:00,INGLESIDE,NONE
ASSAULT,Sunday,02:25,MISSION,NONE
VANDALISM,Sunday,17:00,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,Thursday,16:00,MISSION,NONE
NON-CRIMINAL,Wednesday,20:30,CENTRAL,NONE
LARCENY/THEFT,Thursday,19:15,TARAVAL,NONE
MISSING PERSON,Wednesday,18:20,TARAVAL,NONE
VANDALISM,Monday,15:05,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Monday,14:00,RICHMOND,NONE
RUNAWAY,Thursday,09:00,MISSION,NONE
VANDALISM,Tuesday,20:19,TARAVAL,NONE
ASSAULT,Friday,17:50,SOUTHERN,NONE
ASSAULT,Monday,02:00,MISSION,NONE
LARCENY/THEFT,Monday,09:45,SOUTHERN,NONE
WARRANTS,Friday,21:45,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,Tuesday,00:01,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,Thursday,08:28,CENTRAL,"ARREST, BOOKED"
ASSAULT,Tuesday,13:40,TENDERLOIN,"ARREST, BOOKED"
VANDALISM,Tuesday,21:04,NORTHERN,NONE
NON-CRIMINAL,Saturday,19:39,PARK,NONE
VANDALISM,Monday,07:15,CENTRAL,NONE
LARCENY/THEFT,Tuesday,23:35,MISSION,NONE
SUSPICIOUS OCC,Tuesday,10:00,CENTRAL,NONE
DRUG/NARCOTIC,Saturday,16:50,PARK,"ARREST, BOOKED"
NON-CRIMINAL,Monday,15:50,TARAVAL,NONE
OTHER OFFENSES,Wednesday,11:00,NORTHERN,NONE
NON-CRIMINAL,Wednesday,10:30,MISSION,NONE
ASSAULT,Thursday,06:00,TARAVAL,NONE
OTHER OFFENSES,Thursday,23:05,PARK,"ARREST, BOOKED"
WARRANTS,Sunday,14:00,SOUTHERN,"ARREST, BOOKED"
ASSAULT,Tuesday,21:20,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,17:30,NORTHERN,NONE
VEHICLE THEFT,Wednesday,19:00,INGLESIDE,NONE
LARCENY/THEFT,Friday,21:00,SOUTHERN,NONE
NON-CRIMINAL,Saturday,16:30,SOUTHERN,NONE
STOLEN PROPERTY,Sunday,09:51,SOUTHERN,"ARREST, BOOKED"
ASSAULT,Saturday,10:00,INGLESIDE,NONE
VANDALISM,Wednesday,20:00,SOUTHERN,NONE
LARCENY/THEFT,Tuesday,20:00,NORTHERN,NONE
DRUNKENNESS,Monday,00:01,NORTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Friday,09:30,CENTRAL,NONE
LARCENY/THEFT,Friday,17:25,SOUTHERN,NONE
LARCENY/THEFT,Tuesday,00:01,NORTHERN,NONE
MISSING PERSON,Wednesday,08:00,INGLESIDE,NONE
FRAUD,Tuesday,19:24,PARK,NONE
NON-CRIMINAL,Saturday,15:30,TENDERLOIN,NONE
VANDALISM,Sunday,16:30,SOUTHERN,NONE
BURGLARY,Thursday,18:01,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,Sunday,19:20,TARAVAL,NONE
OTHER OFFENSES,Monday,16:44,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,Monday,04:00,INGLESIDE,NONE
LARCENY/THEFT,Sunday,05:00,CENTRAL,NONE
MISSING PERSON,Friday,08:00,NORTHERN,NONE
NON-CRIMINAL,Thursday,15:40,BAYVIEW,NONE
LARCENY/THEFT,Thursday,14:40,SOUTHERN,NONE
NON-CRIMINAL,Sunday,00:01,SOUTHERN,NONE
DRUG/NARCOTIC,Tuesday,19:59,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,Wednesday,14:10,NORTHERN,"ARREST, BOOKED"
BURGLARY,Sunday,22:30,NORTHERN,NONE
ASSAULT,Sunday,22:40,NORTHERN,"ARREST, BOOKED"
VANDALISM,Saturday,17:00,NORTHERN,NONE
LARCENY/THEFT,Tuesday,07:30,MISSION,NONE
SUSPICIOUS OCC,Monday,01:25,SOUTHERN,NONE
LARCENY/THEFT,Thursday,17:20,CENTRAL,NONE
LARCENY/THEFT,Thursday,14:00,CENTRAL,NONE
ROBBERY,Thursday,23:45,TARAVAL,NONE
WARRANTS,Tuesday,20:17,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,Monday,18:00,CENTRAL,NONE
OTHER OFFENSES,Wednesday,11:16,MISSION,"ARREST, BOOKED"
VANDALISM,Tuesday,14:40,CENTRAL,NONE
LARCENY/THEFT,Sunday,17:30,BAYVIEW,NONE
OTHER OFFENSES,Friday,23:29,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Tuesday,08:39,PARK,NONE
FRAUD,Friday,20:20,MISSION,NONE
BURGLARY,Thursday,19:15,RICHMOND,NONE
ASSAULT,Thursday,22:15,MISSION,"ARREST, BOOKED"
MISSING PERSON,Wednesday,15:25,INGLESIDE,NONE
LARCENY/THEFT,Saturday,23:15,NORTHERN,NONE
VANDALISM,Friday,20:30,CENTRAL,NONE
BURGLARY,Sunday,15:20,BAYVIEW,NONE
STOLEN PROPERTY,Wednesday,10:30,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,Friday,23:52,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,00:15,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,08:00,MISSION,NONE
"SEX OFFENSES, NON FORCIBLE",Wednesday,15:25,TARAVAL,NONE
VEHICLE THEFT,Monday,12:00,SOUTHERN,NONE
NON-CRIMINAL,Wednesday,17:59,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Thursday,18:00,SOUTHERN,NONE
VANDALISM,Thursday,18:40,BAYVIEW,NONE
LARCENY/THEFT,Friday,18:00,CENTRAL,NONE
TRESPASS,Monday,06:16,MISSION,"ARREST, BOOKED"
SUSPICIOUS OCC,Tuesday,11:05,TARAVAL,NONE
VANDALISM,Sunday,14:21,PARK,NONE
FRAUD,Thursday,18:44,RICHMOND,NONE
OTHER OFFENSES,Sunday,22:35,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,Wednesday,22:30,TARAVAL,NONE
ASSAULT,Monday,15:10,NORTHERN,NONE
DRUG/NARCOTIC,Tuesday,08:13,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,Tuesday,13:45,TARAVAL,NONE
ASSAULT,Sunday,01:55,CENTRAL,NONE
WARRANTS,Saturday,22:24,RICHMOND,"ARREST, BOOKED"
BURGLARY,Tuesday,04:56,CENTRAL,NONE
VANDALISM,Sunday,18:00,PARK,NONE
VEHICLE THEFT,Saturday,12:00,BAYVIEW,NONE
OTHER OFFENSES,Thursday,09:22,CENTRAL,NONE
LARCENY/THEFT,Sunday,21:00,RICHMOND,NONE
ASSAULT,Saturday,11:30,RICHMOND,NONE
DRUG/NARCOTIC,Wednesday,14:37,NORTHERN,"ARREST, BOOKED"
ASSAULT,Thursday,12:30,NORTHERN,"ARREST, BOOKED"
ASSAULT,Monday,17:40,SOUTHERN,NONE
ASSAULT,Saturday,16:30,SOUTHERN,NONE
LARCENY/THEFT,Thursday,19:00,CENTRAL,NONE
OTHER OFFENSES,Tuesday,16:41,BAYVIEW,"ARREST, BOOKED"
DRUG/NARCOTIC,Tuesday,22:58,SOUTHERN,"ARREST, BOOKED"
WARRANTS,Tuesday,17:41,NORTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Tuesday,15:10,TENDERLOIN,NONE
OTHER OFFENSES,Monday,00:05,NORTHERN,"ARREST, BOOKED"
ASSAULT,Wednesday,21:00,CENTRAL,NONE
VEHICLE THEFT,Wednesday,09:11,BAYVIEW,NONE
FRAUD,Thursday,17:52,CENTRAL,NONE
LARCENY/THEFT,Wednesday,10:30,SOUTHERN,NONE
SUSPICIOUS OCC,Tuesday,15:30,MISSION,NONE
LARCENY/THEFT,Friday,22:00,MISSION,NONE
NON-CRIMINAL,Friday,09:30,TARAVAL,NONE
WARRANTS,Wednesday,00:25,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,12:40,MISSION,"ARREST, BOOKED"
VANDALISM,Wednesday,23:51,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Friday,10:30,SOUTHERN,NONE
LARCENY/THEFT,Monday,03:00,NORTHERN,NONE
LARCENY/THEFT,Friday,01:00,NORTHERN,NONE
OTHER OFFENSES,Friday,17:47,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,Saturday,16:45,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,Thursday,19:20,MISSION,NONE
LARCENY/THEFT,Tuesday,19:00,BAYVIEW,NONE
LARCENY/THEFT,Thursday,10:00,BAYVIEW,NONE
TRESPASS,Wednesday,09:00,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,Tuesday,19:30,INGLESIDE,NONE
WARRANTS,Saturday,23:20,CENTRAL,"ARREST, BOOKED"
VANDALISM,Thursday,23:55,INGLESIDE,NONE
NON-CRIMINAL,Monday,08:25,NORTHERN,NONE
VEHICLE THEFT,Monday,18:00,BAYVIEW,NONE
NON-CRIMINAL,Tuesday,08:00,INGLESIDE,NONE
OTHER OFFENSES,Wednesday,18:00,SOUTHERN,NONE
OTHER OFFENSES,Tuesday,17:05,BAYVIEW,NONE
ASSAULT,Saturday,13:25,TENDERLOIN,NONE
VANDALISM,Thursday,18:00,BAYVIEW,NONE
WARRANTS,Thursday,20:33,BAYVIEW,"ARREST, BOOKED"
ROBBERY,Friday,11:15,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,Monday,00:45,SOUTHERN,NONE
NON-CRIMINAL,Monday,19:13,BAYVIEW,NONE
LARCENY/THEFT,Tuesday,10:40,PARK,NONE
VEHICLE THEFT,Saturday,23:00,RICHMOND,NONE
NON-CRIMINAL,Monday,16:30,INGLESIDE,"ARREST, BOOKED"
WARRANTS,Thursday,14:58,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,Friday,18:45,TARAVAL,NONE
LARCENY/THEFT,Sunday,16:45,PARK,NONE
VANDALISM,Thursday,21:00,INGLESIDE,NONE
OTHER OFFENSES,Tuesday,21:42,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,Friday,17:01,SOUTHERN,NONE
NON-CRIMINAL,Wednesday,16:05,SOUTHERN,"ARREST, BOOKED"
VEHICLE THEFT,Monday,16:00,PARK,NONE
VANDALISM,Monday,10:15,BAYVIEW,NONE
OTHER OFFENSES,Monday,09:30,BAYVIEW,NONE
NON-CRIMINAL,Monday,10:16,TARAVAL,NONE
WARRANTS,Sunday,09:46,INGLESIDE,"ARREST, BOOKED"
VEHICLE THEFT,Tuesday,18:30,NORTHERN,NONE
OTHER OFFENSES,Monday,00:21,SOUTHERN,"ARREST, BOOKED"
ROBBERY,Tuesday,12:37,SOUTHERN,"ARREST, BOOKED"
GAMBLING,Wednesday,14:29,MISSION,"ARREST, BOOKED"
EMBEZZLEMENT,Thursday,00:01,SOUTHERN,NONE
LARCENY/THEFT,Wednesday,14:40,RICHMOND,NONE
VEHICLE THEFT,Sunday,17:30,NORTHERN,NONE
NON-CRIMINAL,Friday,19:10,SOUTHERN,NONE
VANDALISM,Tuesday,10:50,TARAVAL,NONE
VEHICLE THEFT,Thursday,23:00,NORTHERN,NONE
LARCENY/THEFT,Sunday,01:30,NORTHERN,NONE
LARCENY/THEFT,Sunday,22:30,NORTHERN,NONE
OTHER OFFENSES,Tuesday,14:59,PARK,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,20:00,TARAVAL,NONE
LARCENY/THEFT,Monday,21:06,SOUTHERN,NONE
OTHER OFFENSES,Wednesday,17:25,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Monday,00:01,NORTHERN,NONE
NON-CRIMINAL,Saturday,17:41,SOUTHERN,NONE
ASSAULT,Thursday,21:20,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,Sunday,20:30,RICHMOND,NONE
NON-CRIMINAL,Saturday,17:42,SOUTHERN,NONE
BURGLARY,Saturday,15:30,TARAVAL,"ARREST, BOOKED"
WEAPON LAWS,Monday,23:15,INGLESIDE,"ARREST, BOOKED"
NON-CRIMINAL,Saturday,19:20,BAYVIEW,NONE
